"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"Sony";"TV";"XBR-65X850D";"selfpay";;"WILL NOT POWER ON AND SMELLED ELECTRICAL SMELL";;;"a2094355a";;;;;;;"147464211";;;;;;;;"Main";;;;;;;"Power Supply";;;;;;;
"Maytag";"refrigerator";"MBF2256HEQ";;;"PARTS ORDER";;;"wp67003903";;;;;;;"wp67003904";;"WPW10128551";;"WP67003426";"67003931";"WPW10503278";;"damper control";;;;;;;"insulation";;"motor";;"Def Therm 2754";"Def harness";"Control 11831";
"ACP";"Microwave";"RFS12SW2A";;;"GIVES CODE E-10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;"Part sale";"PART SALE ONLY DK";;;;;;;;;;;;;;;;;"resistor";;;;;;;;;;;;;;
"Delco";"Receiver";"09369965";;;"NO DESCRIPTION";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acp";"Microwave";"WDYRC";;;;;;"59174520";;;;;;;"59004010";;;;;;;;"Traic";;;;;;;"Mag BTM 2M248H(A)";"Fix Inner Door";"Interlock, check";;;;;
"Philips";"TV";"65PFL5504/F7";"selfpay";;"WILL NOT GET PAST ANDROID LOGO";;;"abd8rmmar001";;;;;;;;"ABD8RMMAR001";"47-6021218";"AB780MPWR002";"U9W40J";;;;"Main";;;;;;;;"Main (SJ)";"T-Con (SJ)";"Power Supply (SJ)";"WiFi (SJ)";;;
"Whirlpool";"Range, Elec";"MER6755AAB24";;;"LOWER OVEN BAKING ELEMENT IS BROKEN";;;"WP7406P428-60";;;;;;;;;;;;;;;"Bake element 1747";;;;;;;;;;;;;;
"17 Renegade";"am/fm/nav";;;;"AUDIO IS A BUNCH OF BEEPS, ALSO THE GPS QUIT WORKING. DIGITIZER IS CRACKED, REGISTERS TOUCHES CAUSING BEEPS, GPS THINKS HE'S IN WAYNE, NE HE'S AGREEABLE TO SEND UNIT OUT FOR REPAIR.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panasonic";"Microwave";"NE-2157R";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
